Aachen_N	aachenský_A
Abcházie_N	Abchaz_X
Abcházie_N	Abchazka_X
Abcházie_N	Abcház_X
Abcházie_N	Abcházec_X
Abcházie_N	Abcházska_X
Abcházie_N	abchazský_X
Abertamy_N	abertamský_A
Abrahámová_N	Abrahám_X
Achilles_N	achillovský_X
Achilleus_N	achilleovský_X
Aconcagua_N	aconcagujský_X
Adam_N	Adamec_X
Adam_N	Adamov_N
Adam_N	Adamus_X
Adam_N	Adamův_A
Adam_N	Adámek_X
Adam_N	adam_X
Adam_N	adamita_X
Adam_N	adamnický_X
Adam_N	adamovec_X
Adam_N	adamák_X
Adamov_N	adamovka_N
Adamov_N	adamovský_A
Adamová_N	Adam_N
Adamová_N	Adamovi_X
Adelaide_N	adelaidský_X
Adler_N	Adlerovi_X
Adler_N	Adlerová_X
Adler_N	Adlerův_X
Adler_N	adlerovský_X
Adolf_N	Adolfa_X
Adolf_N	Adolfina_X
Adolf_N	Adolfův_A
Adrian_N	Adriana_X
Adrian_N	Adrianův_X
Adrian_N	Adriána_X
Adrián_N	Adriana_X
Adrián_N	Adriána_X
Adrián_N	Adriánův_A
Afghánec_N	Afghánistán_N
Afghánec_N	Afghánka_N
Afghánistán_N	Afghánec_N
Afghánistán_N	Afghánka_N
Afghánistán_N	Afgánec_X
Afghánistán_N	Afgánka_X
Afghánistán_N	afghánský_A
Afghánistán_N	afgánský_X
Afghánka_N	Afghánec_N
Afghánka_N	Afghánistán_N
Afrika_N	Afričan_N
Afrika_N	Afričanka_N
Afrika_N	africký_A
Afrika_N	afrikán_N
Afrikánec_N	Afrika_N
Afrikánec_N	Afrikánka_X
Afrikánec_N	afrikánsky_D
Afrikánec_N	afrikánský_X
Afrikánec_N	afrikánština_N
Afričan_N	Afričanka_N
Afričan_N	Afričanče_X
Afričan_N	Afričanův_A
Afričan_N	africky_D
Afričan_N	africký_A
Afričanka_N	Afričan_N
Afričanka_N	africky_D
Afričanka_N	africký_A
Afroameričan_N	Afrika_N
Afroameričan_N	Afroameričanka_N
Afroameričan_N	Amerika_N
Afroameričan_N	Američan_N
Afroameričan_N	afroamerický_A
Afroameričanka_N	Afroameričan_N
Afrodita_N	Afroditin_X
Afrodité_N	Afroditin_X
Agamemnón_N	Agamemnónův_X
Ahaggar_N	ahaggarský_X
Akvitánie_N	akvitánský_X
Akán_N	Akánka_N
Akánec_N	Akánčanka_N
Alabama_N	alabamský_X
Alamánie_N	alamánský_X
Albert_N	Albertův_A
Albrechtice_N	Albrechtičanky_N
Albrechtice_N	albrechtický_A
Albrechtičanky_N	Albrechtice_N
Albrechtičanky_N	Albrechtičana_X
Albrechtičanky_N	Albrechtičané_X
Albrechtičanky_N	albrechtických_X
Albrightová_N	Albright_X
Albrightová_N	Albrightovi_X
Albrightová_N	Albrightův_X
Albánec_N	Albánka_N
Albánie_N	Albánec_N
Albánie_N	Albánka_N
Albánie_N	albánsky_D
Albánie_N	albánský_A
Albánka_N	Albánec_N
Albánka_N	albánsky_D
Albánka_N	albánský_A
Albín_N	Albína_X
Albín_N	Albínův_A
Alemánie_N	alemánský_X
Alena_N	Alenin_X
Alenka_N	Alenčin_X
Aleuty_N	aleutský_X
Alexandr_N	Alexandra_N
Alexandr_N	Alexandrův_A
Alexandra_N	Alexa_X
Alexandra_N	Alexandr_N
