Abbas_X	Abbasid_N
Alexander_N	Al_X
Alexander_N	Alec_X
Alexander_N	Aleck_X
Alexander_N	Alex_X
Alexander_N	Alistair_X
Alexander_N	Lex_X
Alexander_N	Sandro_X
Alexander_N	Sandy_N
Alexander_N	Sasha_X
Alexander_N	Xan_N
Alexander_N	Xander_X
Allegheny_X	Alleghenian_A
Allen_N	Allenesque_A
Allen_N	Allentown_X
American_N	Americanism_N
American_N	Americanization_N
American_N	Americanize_V
American_N	Americanoid_A
Anselm_X	Anselmian_A
Anselm_X	Anselmic_A
Aphrodite_X	Aphrodisian_A
Aphrodite_X	aphrodisia_N
Aphrodite_X	aphrodisiac_A
Aphrodite_X	aphrodisiacal_A
Aphrodite_X	aphroditic_A
Arab_A	Arabia_X
Arab_A	Arabian_A
Arab_A	Arabic_A
Arab_A	Arabist_N
Arab_A	arabesque_N
Arcturus_X	Arcturian_A
Argos_X	Argot_N
Arkansas_X	Arkansan_A
Arkansas_X	Arkansasan_N
Arkansas_X	Arkansasian_N
Arkansas_X	Arkansawyer_N
Arkansas_X	Arkie_N
Armorica_X	Armorican_A
Atkin_X	Atkins_X
Atkin_X	Atkinson_X
Atkinson_X	Atkinsonian_A
Atlantic_A	amphiatlantic_A
Atlantic_A	transatlantic_A
Atropatene_X	Atropatenid_X
August_X	augustqualifier_X
August_X	verb_N
Australia_X	Aussie_N
Australia_X	Australasia_X
Australia_X	Australian_N
Australia_X	Australianism_N
Australia_X	Eastralia_N
Australia_X	Westralia_X
Ayurveda_N	Ayurvedic_A
Ayurvedic_A	ayurvedically_D
Babel_N	Babeldom_N
Babel_N	Babelesque_A
Babel_N	Babelian_A
Babel_N	Babelish_A
Baker_X	Bakerian_A
Baker_X	Bakerloo_X
Balt_N	Baltic_A
Balt_N	Baltica_X
Barbuda_X	Barbudan_N
Barbuda_X	Barbudian_N
Baskerville_X	Baskervillean_A
Bayes_X	Bayesian_A
Bayonne_X	bayonet_N
Bell_N	Bellhead_N
Beringian_A	amphiberingian_A
Bible_N	Biblical_A
Bible_N	biblical_A
Bible_N	bibliolatry_N
Bluetooth_X	bluejack_V
Bluetooth_X	bluejacker_N
Bluetooth_X	bluejacking_N
Bluetooth_X	bluesnarfing_N
Bombay_N	Bollywood_X
Bombay_N	Bombayite_N
Bond_X	Bondian_A
Bond_X	Bondiana_N
Bond_X	Bondverse_X
Borneo_X	Bornean_A
Boston_X	Bostoner_N
Boston_X	Bostonese_N
Boston_X	Bostonian_N
Boston_X	Bostonite_A
Brahman_N	Brahmanic_X
Brahman_N	Brahmanical_A
Brahman_N	Brahmanism_X
Brahman_N	Brahmaputra_N
Brahman_N	Brahmin_N
Brexit_V	Brexiteer_N
Brexit_V	Brexiter_N
Brexit_V	Brexity_A
Brexit_V	Brexodus_N
Bristol_N	Bristolian_A
Bunsen_N	bunsenite_N
Burgundy_N	Burgundian_N
Byzantine_A	Byzantinist_N
Caesar_N	Caesarism_N
Caesar_N	caesarean_N
Caesar_N	caesarian_A
Caesar_N	cesarean_A
Caesar_N	cesarian_A
California_X	Californian_A
California_X	Californianization_N
California_X	Californianize_V
California_X	Norcal_X
California_X	Socal_X
Camorra_X	Camorrism_N
Camorra_X	Camorrist_N
Camorra_X	Camorrista_N
Canossa_X	Canossan_A
Carrey_X	Carreyesque_A
Carroll_N	Carrollian_A
Carroll_N	Carrollton_X
Carroll_N	carrollite_N
Castro_X	Castrism_N
Castro_X	Castrist_N
Castro_X	Castroist_N
Castro_X	Castroite_A
Castro_X	Castrophile_N
Cathain_X	Keane_X
Cathain_X	MacCatháin_X
Cheka_X	Chekist_N
China_X	Chinamanqualifier_X
China_X	Chinatown_N
China_X	Chinese_N
China_X	chinaberry_N
China_X	derogatory_A
Christ_N	Chrislam_X
Christ_N	Christian_N
Christ_N	Christianity_N
Christ_N	Christicide_N
Christ_N	Christmas_A
Christ_N	antichrist_N
Christ_N	christen_V
Christ_N	christening_N
