Évelette_X	Évelettoise_N	Évelettois_N	évelettois_A
Fontenaysien_N	fontaniode_A	Fontanais_N	Fontenois_N	Fontanien_N	Fontaniard_N	fontanaise_A	Fontaniarde_N	Fontaines_N	Fontenaisien_N	fontenoise_A	fontaniarde_A	fontenois_A	Fontenoise_N	fontanien_A	Fontanaise_N	Fontanes_X	fontaniod_A	Fontanois_N	fontanois_A	Fontanès_X	Fontains_N	Fontenaysienne_N	Fontaniod_N	Fontenaisienne_N	Fontan_X	Fontanoise_N	fontenaisien_A	fontanoise_A	Fontenay_X	fontanais_A	fontenaysien_A	Fontaniode_N	Fontanienne_N	fontaniard_A
Rodellois_N	rodellois_A	Rodelle_X	Rodelloise_N	rodelloise_A
Charmoillote_N	Charmoillais_N	charmoillot_A	Charmoille_X	charmoillote_A	Charmoillot_N	Charmoillaise_N	charmoillaise_A	charmoillais_A
angélologique_A	angélologie_N	angélologue_N
sevenanaise_A	sevenanais_A	Sevenanaise_N	Sevenanais_N	Sevenans_X
tourbière_N	tourbier_N	tourbeux_A	tourbage_N	tourbe_N	tourber_V
féronaise_A	Féronaise_N	Féron_X	féronais_A	Féronais_N
bégarrois_A	bégarroise_A	Bégarroise_N	Bégarrois_N	Bégard_X
Duault_X	Duaultois_N	duaultois_A	duaultoise_A	Duaultoise_N
Gabarnac_X	Gabarnacaise_N	gabarnacais_A	gabarnacaise_A	Gabarnacais_N
yiddishophone_A	yiddish_X	yiddishisante_X	yiddishiser_V	yiddishisant_V
Cellettois_N	Cellettes_X	cellettois_A	cellettoise_A	Cellettoise_N
bengalaisfr_X	bengalifr_X	gigaeuro_X	ornitholnocat_X	Bengale_N	européennement_X	Europe_X	kiloeuro_N	Bengalaisfr_X	bungalowfr_X	européaniste_A	europoïde_A	histoirenocat_X	Bangladeshifr_X	Bengalifr_X	bangladaisfr_X	Bangladeshfr_X	euro_X	européen_A	mégaeuro_N	Bangladaisfr_X	bangladeshifr_X	centreuropéen_A	européanisme_N	bengale_N
Amberloup_X	amberlouvier_A	Amberlouvier_N	Amberlouvière_N
minorité_N	minoritairement_D	moindre_X	mineure_N	mineur_A	minoritaire_A
Anderny_X	andernois_A	Andernois_N	andernoise_A	Andernoise_N
Ronsenac_X	ronsenacois_A	ronsenacoise_A	Ronsenacois_N	Ronsenacoise_N
mancozèbe_N	manèbe_N
Merlantine_N	Merlantin_N	merlantine_A	Merlas_X	merlantin_A
cestayrolais_A	Cestayrolaise_N	Cestayrols_X	Cestayrolais_N	cestayrolaise_A
infrapétiolaire_A	pétiole_N	intrapétiolaire_A	pétiolé_A	interpétiolaire_A	pétiolaire_A
zuytpeenois_A	Zuytpeenois_N	Zuytpeenoise_N	Zuytpeene_X	zuytpeenoise_A
Dennevillaise_N	Dennevillais_N	dennevillais_A	dennevillaise_A	Denneville_X
ethnotouristique_X	touriste_N	volontévolontairetourisme_X	écotouriste_N	involontaire_A	tourismophobie_N	volontariat_N	agrotourisme_N	ethnotourisme_N	surtourisme_N	tourista_N	volonté_N	touristonaute_N	volontouriste_N	cyclotourisme_N	volontaire_A	nécrotouriste_X	narcotourisme_N	volontarisme_N	récréotouristique_A	touristiquement_X	volontariste_A	tourisme_N	écotourisme_N	nécrotourisme_N	cyclotouriste_A	volontairement_D	œnotouriste_N	œnotourisme_N	involontairement_D	œnotouristique_A	récréotourisme_N	touristique_A	volontourisme_N	agritourisme_N
Bernwillerois_N	Bernwilleroise_N	Bernwiller_X	bernwillerois_A	bernwilleroise_A
publicain_N	Publicaine_N	Publicain_N	Publy_X	publicaine_A
Richelais_N	richelais_A	Richelieu_N	richelaise_A	Richelaise_N
boulocois_A	Boulocain_N	Bouloc_X	Boulocoise_N	Boulocois_N	Boulocaine_N	boulocain_A
gœulzinoise_A	Gœulzinoise_N	Gœulzinois_N	gœulzinois_A	Gœulzin_X
Monjolienne_N	Montjovien_N	Monjolien_N	montjovien_A	monjolien_A	Montjoi_X	Montjovienne_N	Montjoire_X	montjovienne_A
Giraumontois_N	giraumontoise_A	Giraumont_X	giraumontois_A	Giraumontoise_N
Beuvrages_X	beuvrageoise_A	Beuvrageois_N	beuvrageois_A	Beuvrageoise_N
