Aalénien_N	aalénien_A
Aast_X	Aastais_N
Aast_X	Aastaise_N
Aast_X	aastais_A
Abainville_X	Abainvillois_N
Abainville_X	Abainvilloise_N
Abainville_X	abainvillois_A
Abainville_X	abainvilloise_A
Abancourt_X	Abancourtois_N
Abancourt_X	Abancourtoise_N
Abancourt_X	abancourtois_A
Abancourt_X	abancourtoise_A
Abaucourt_X	Abaucourtois_X
Abaucourt_X	Abaucourtoise_X
Abaucourt_X	abaucourtois_X
Abbaretz_X	Abbarois_N
Abbaretz_X	Abbaroise_N
Abbaretz_X	abbarois_A
Abbaretz_X	abbaroise_A
Abbecourt_X	Abbecourtois_N
Abbecourt_X	Abbecourtoise_N
Abbecourt_X	abbecourtois_A
Abbecourt_X	abbecourtoise_A
Abbenans_X	Abbenanais_N
Abbenans_X	Abbenanaise_N
Abbenans_X	abbenanais_A
Abbenans_X	abbenanaise_A
Abbevillien_N	abbevillien_A
Abbécourt_X	Abbecourtois_N
Abbécourt_X	Abbecourtoise_N
Abbécourt_X	abbecourtois_A
Abbécourt_X	abbecourtoise_A
Abeilhan_X	Abeilhanais_N
Abeilhan_X	Abeilhanaise_N
Abeilhan_X	abeilhanais_A
Abelcourt_X	Abelcourtois_N
Abelcourt_X	Abelcourtoise_N
Abelcourt_X	abelcourtois_A
Abelcourt_X	abelcourtoise_A
Abengourou_X	Abengourois_N
Abengourou_X	Abengouroise_N
Abengourou_X	abengourois_A
Abengourou_X	abengouroise_A
Abidjan_X	Abidjanais_N
Abidjan_X	abidjanais_A
Abidjan_X	réf_X
Abilly_X	Abillois_N
Abilly_X	Abilloise_N
Abilly_X	abillois_A
Abilly_X	abilloise_A
Abitain_X	Abatinois_N
Abitain_X	Abatinoise_N
Abitain_X	abatinois_A
Abitibien_N	Abitibi_X
Abkhasie_X	Abkhase_X
Abkhasie_X	abkhase_X
Abkhasie_X	abkhasien_N
Abkhazie_X	Abkhaze_N
Abkhazie_X	abkhaze_X
Ablainzevelle_X	Ablainzevellois_N
Ablainzevelle_X	Ablainzevelloise_N
Ablainzevelle_X	ablainzevellois_A
Ablainzevelle_X	ablainzevelloise_A
Ablancourt_X	Blancourtien_N
Ablancourt_X	Blancourtienne_N
Ablancourt_X	blancourtien_A
Ablancourt_X	blancourtienne_A
Ableiges_X	Ableigeois_N
Ableiges_X	Ableigeoise_N
Ableiges_X	ableigeois_A
Ableiges_X	ableigeoise_A
Ablis_X	Ablisien_N
Ablis_X	Ablisienne_N
Ablis_X	ablisien_A
Ablis_X	ablisienne_A
Ablon_X	Ablonnais_N
Ablon_X	Ablonnaise_N
Ablon_X	ablonnais_A
Ablon_X	ablonnaise_A
Abondance_X	Abondancien_N
Abondance_X	Abondancienne_N
Abondance_X	Abondancier_N
Abondance_X	Abondancière_N
Abondance_X	abondancien_A
Abondance_X	abondancienne_A
Abondance_X	abondancier_A
Abondance_X	abondancière_A
Abondant_X	Abondantais_N
Abondant_X	Abondantaise_N
Abondant_X	abondantais_A
Abondant_X	abondantaise_A
